"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GPUs","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Throughput","EBS Optimized: Max 16K IOPS","EBS Exposed as NVMe","Max IPs","Max ENIs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","On EMR","Linux On Demand cost","Linux Reserved cost","RHEL On Demand cost","RHEL Reserved cost","SLES On Demand cost","SLES Reserved cost","Windows On Demand cost","Windows Reserved cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","Linux SQL Web On Demand cost","Linux SQL Web Reserved cost","Linux SQL Std On Demand cost","Linux SQL Std Reserved cost","Linux SQL Ent On Demand cost","Linux SQL Ent Reserved cost","EBS Optimized surcharge","EMR cost"
"R3 High-Memory Quadruple Extra Large","r3.4xlarge","122.0 GiB","52 units","16 vCPUs","0","0","3.25 units","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","Yes","unknown","Yes","320 GiB               SSD","Yes","Yes","64-bit","High","N/A","0 MB/s","0 IOPS","No","240","8","Yes","No","Yes","No","HVM","Yes","$1.596000 hourly","$0.836 hourly","$1.46 hourly","$0.966 hourly","$1.43 hourly","$0.869 hourly","$1.944 hourly","$1.49 hourly","$2.295 hourly","$1.617 hourly","$4.585 hourly","$4.041 hourly","$8.066 hourly","$7.579 hourly","$1.598 hourly","$1.024 hourly","$3.248 hourly","$2.673 hourly","$7.328 hourly","$6.753 hourly","unavailable","$0.270 hourly"
"F1 Quadruple Extra Large","f1.4xlarge","244.0 GiB","52 units","16 vCPUs","0","0","3.25 units","Intel Xeon E5-2686 v4 (Broadwell)","unknown","unknown","unknown","unknown","940 GiB               NVMe SSD","Yes","Yes","64-bit","10 Gigabit","3500.0 Mbps","400.0 MB/s","44000.0 IOPS","No","240","8","No","Yes","Yes","No","HVM","No","unavailable","$2.231 hourly","$3.43 hourly","$2.361 hourly","$3.4 hourly","$2.264 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"X1E Quadruple Extra Large","x1e.4xlarge","488.0 GiB","47 units","16 vCPUs","0","0","2.938 units","High Frequency Intel Xeon E7-8880 v3 (Haswell)","2.3 GHz","Yes","Yes","unknown","480 GiB               SSD","Yes","No","64-bit","Up to 10 Gigabit","1750.0 Mbps","218.75 MB/s","10000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","No","unavailable","$2.056 hourly","$3.466 hourly","$2.186 hourly","$3.436 hourly","$2.089 hourly","$4.072 hourly","$2.792 hourly","$4.342 hourly","$3.062 hourly","$5.992 hourly","$4.712 hourly","$10.072 hourly","$8.792 hourly","$3.606 hourly","$2.326 hourly","$5.256 hourly","$3.976 hourly","$9.336 hourly","$8.056 hourly","0","unavailable"
"G3 Quadruple Extra Large","g3.4xlarge","122.0 GiB","47 units","16 vCPUs","1","0","2.938 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$1.670000 hourly","$0.7781 hourly","$1.27 hourly","$0.9081 hourly","$1.24 hourly","$0.8111 hourly","$1.876 hourly","$1.5141 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$0.270 hourly"
"R5A Quadruple Extra Large","r5a.4xlarge","128.0 GiB","0 units","16 vCPUs","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","10 Gigabit","2210.0 Mbps","265.0 MB/s","16000.0 IOPS","No","240","8","Yes","Yes","Yes","No","Unknown","Yes","$1.088000 hourly","$0.57 hourly","$1.034 hourly","$0.7 hourly","$1.054 hourly","$0.63 hourly","$1.64 hourly","$1.306 hourly","$1.91 hourly","$1.577 hourly","$3.56 hourly","$3.226 hourly","$7.64 hourly","$7.306 hourly","$1.174 hourly","$0.841 hourly","$2.824 hourly","$2.49 hourly","$6.904 hourly","$6.57 hourly","0","$0.226 hourly"
"M5AD Quadruple Extra Large","m5ad.4xlarge","64.0 GiB","0 units","16 vCPUs","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","600 GiB               (2 * 300 GiB NVMe SSD)","Yes","Yes","64-bit","Up to 10 Gigabit","2120.0 Mbps","265.0 MB/s","16000.0 IOPS","No","240","8","Yes","Yes","Yes","No","Unknown","No","$1.032000 hourly","$0.527 hourly","$0.954 hourly","$0.657 hourly","$0.974 hourly","$0.587 hourly","$1.56 hourly","$1.263 hourly","$1.83 hourly","$1.533 hourly","$3.48 hourly","$3.183 hourly","$7.56 hourly","$7.263 hourly","$1.094 hourly","$0.797 hourly","$2.744 hourly","$2.447 hourly","$6.824 hourly","$6.527 hourly","0","unavailable"
"M5A Quadruple Extra Large","m5a.4xlarge","64.0 GiB","0 units","16 vCPUs","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","2120.0 Mbps","265.0 MB/s","16000.0 IOPS","No","240","8","Yes","Yes","Yes","No","Unknown","Yes","$0.864000 hourly","$0.438 hourly","$0.818 hourly","$0.568 hourly","$0.838 hourly","$0.498 hourly","$1.424 hourly","$1.174 hourly","$1.694 hourly","$1.444 hourly","$3.344 hourly","$3.094 hourly","$7.424 hourly","$7.174 hourly","$0.958 hourly","$0.708 hourly","$2.608 hourly","$2.358 hourly","$6.688 hourly","$6.438 hourly","0","$0.172 hourly"
"R5AD Quadruple Extra Large","r5ad.4xlarge","128.0 GiB","0 units","16 vCPUs","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","600 GiB               (2 * 300 GiB NVMe SSD)","Yes","Yes","64-bit","10 Gigabit","2210.0 Mbps","265.0 MB/s","16000.0 IOPS","No","240","8","Yes","Yes","Yes","No","Unknown","No","$1.272000 hourly","$0.664 hourly","$1.178 hourly","$0.794 hourly","$1.198 hourly","$0.724 hourly","$1.784 hourly","$1.4 hourly","$2.054 hourly","$1.67 hourly","$3.704 hourly","$3.32 hourly","$7.784 hourly","$7.4 hourly","$1.318 hourly","$0.934 hourly","$2.968 hourly","$2.584 hourly","$7.048 hourly","$6.664 hourly","0","unavailable"
"A1 Quadruple Extra Large","a1.4xlarge","32.0 GiB","0 units","16 vCPUs","0","0","0 units","AWS Graviton Processor","2.3 GHz","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","No","240","8","Yes","Yes","Yes","No","Unknown","No","unavailable","$0.257 hourly","$0.538 hourly","$0.387 hourly","$0.558 hourly","$0.317 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"C5N Quadruple Extra Large","c5n.4xlarge","42.0 GiB","0 units","16 vCPUs","0","0","0 units","Intel Xeon Platinum 8124M","3.0 Ghz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 25 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","No","240","8","Yes","Yes","Yes","No","Unknown","Yes","unavailable","$0.544 hourly","$0.994 hourly","$0.674 hourly","$1.014 hourly","$0.604 hourly","$1.6 hourly","$1.28 hourly","$1.87 hourly","$1.551 hourly","$3.52 hourly","$3.2 hourly","$7.6 hourly","$7.28 hourly","$1.134 hourly","$0.815 hourly","$2.784 hourly","$2.464 hourly","$6.864 hourly","$6.544 hourly","0","$0.216 hourly"
"High Storage Eight Extra Large","hs1.8xlarge","117.0 GiB","35 units","17 vCPUs","0","0","2.059 units","Intel Xeon E5-2650","2 GHz","unknown","unknown","unknown","48000 GiB               (24 * 2000 GiB HDD)","No","N/A","64-bit","10 Gigabit","N/A","0 MB/s","0 IOPS","No","240","8","No","No","No","No","HVM, PV","Yes","$5.570000 hourly","unavailable","$4.73 hourly","unavailable","$4.7 hourly","unavailable","$4.931 hourly","unavailable","$5.144 hourly","unavailable","$8.35 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.270 hourly"
"Z1D 6xlarge","z1d.6xlarge","192.0 GiB","134 units","24 vCPUs","0","0","5.583 units","Intel Xeon Platinum 8151","unknown","unknown","unknown","unknown","900 GiB               NVMe SSD","Yes","Yes","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","40000.0 IOPS","No","240","8","No","Yes","Yes","No","HVM","Yes","$2.712000 hourly","$1.411 hourly","$2.362 hourly","$1.541 hourly","$2.382 hourly","$1.471 hourly","$3.336 hourly","$2.515 hourly","$3.742 hourly","$2.92 hourly","$6.216 hourly","$5.395 hourly","$12.336 hourly","$11.515 hourly","$2.638 hourly","$1.816 hourly","$5.112 hourly","$4.291 hourly","$11.232 hourly","$10.411 hourly","0","$0.270 hourly"
"C3 High-CPU Eight Extra Large","c3.8xlarge","60.0 GiB","108 units","32 vCPUs","0","0","3.375 units","Intel Xeon E5-2680 v2 (Ivy Bridge)","2.8 GHz","Yes","unknown","Yes","640 GiB               (2 * 320 GiB SSD)","No","No","64-bit","10 Gigabit","N/A","0 MB/s","0 IOPS","No","240","8","Yes","No","Yes","No","HVM, PV","Yes","$2.117000 hourly","$1.168 hourly","$1.81 hourly","$1.298 hourly","$1.78 hourly","$1.204 hourly","$3.008 hourly","$2.631 hourly","$4.332 hourly","$3.081 hourly","$8.523 hourly","$6.17 hourly","$15.152 hourly","$14.657 hourly","$2.288 hourly","$1.67 hourly","$6 hourly","$5.382 hourly","$15.18 hourly","$14.562 hourly","unavailable","$0.270 hourly"
"G2 Eight Extra Large","g2.8xlarge","60.0 GiB","104 units","32 vCPUs","4","0","3.25 units","Intel Xeon E5-2670 (Sandy Bridge)","2.6 GHz","Yes","unknown","Yes","240 GiB               (2 * 120 GiB SSD)","No","No","64-bit","10 Gigabit","N/A","0 MB/s","0 IOPS","No","240","8","No","No","No","No","Unknown","No","$4.000000 hourly","$1.896 hourly","$2.73 hourly","$2.026 hourly","$2.7 hourly","$1.933 hourly","$2.878 hourly","$1.979 hourly","unavailable","unavailable","unavailable","unavailable","$16.072 hourly","$15.369 hourly","unavailable","unavailable","unavailable","unavailable","$14.6 hourly","$13.702 hourly","unavailable","unavailable"
"I2 Eight Extra Large","i2.8xlarge","244.0 GiB","104 units","32 vCPUs","0","0","3.25 units","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","Yes","unknown","Yes","6400 GiB               (8 * 800 GiB SSD)","Yes","Yes","64-bit","10 Gigabit","N/A","0 MB/s","0 IOPS","No","240","8","Yes","No","Yes","No","HVM","Yes","$8.140000 hourly","$3.392 hourly","$6.95 hourly","$3.522 hourly","$6.92 hourly","$3.428 hourly","$7.782 hourly","$4.521 hourly","$7.942 hourly","$4.623 hourly","$9.836 hourly","$6.142 hourly","$20.292 hourly","$16.87 hourly","$7.365 hourly","$3.588 hourly","$10.664 hourly","$6.888 hourly","$18.824 hourly","$15.048 hourly","unavailable","$0.270 hourly"
"R3 High-Memory Eight Extra Large","r3.8xlarge","244.0 GiB","104 units","32 vCPUs","0","0","3.25 units","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","Yes","unknown","Yes","640 GiB               (2 * 320 GiB SSD)","Yes","Yes","64-bit","10 Gigabit","N/A","0 MB/s","0 IOPS","No","240","8","Yes","No","Yes","No","HVM","Yes","$3.192000 hourly","$1.672 hourly","$2.79 hourly","$1.802 hourly","$2.76 hourly","$1.705 hourly","$3.5 hourly","$1.989 hourly","$3.855 hourly","$2.717 hourly","$8.615 hourly","$7.594 hourly","$16.132 hourly","$15.158 hourly","$3.197 hourly","$2.048 hourly","$6.496 hourly","$5.347 hourly","$14.656 hourly","$13.507 hourly","unavailable","$0.270 hourly"
"R4 High-Memory Eight Extra Large","r4.8xlarge","244.0 GiB","99 units","32 vCPUs","0","0","3.094 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","37500.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$2.560000 hourly","$1.344 hourly","$2.258 hourly","$1.474 hourly","$2.228 hourly","$1.377 hourly","$3.6 hourly","$2.816 hourly","$4.164 hourly","$3.38 hourly","$7.44 hourly","$6.656 hourly","$15.6 hourly","$14.816 hourly","$2.6688 hourly","$1.8848 hourly","$5.968 hourly","$5.184 hourly","$14.128 hourly","$13.344 hourly","0","$0.270 hourly"
"H1 Eight Extra Large","h1.8xlarge","128.0 GiB","99 units","32 vCPUs","0","0","3.094 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","8000 GiB               (4 * 2000 GiB HDD)","Yes","N/A","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","40000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","unavailable","$1.272 hourly","$2.002 hourly","$1.402 hourly","$1.972 hourly","$1.305 hourly","$3.344 hourly","$2.744 hourly","$3.885 hourly","$3.285 hourly","$7.184 hourly","$6.584 hourly","$15.344 hourly","$14.744 hourly","$2.413 hourly","$1.813 hourly","$5.712 hourly","$5.112 hourly","$13.872 hourly","$13.272 hourly","0","$0.270 hourly"
"I3 High I/O Eight Extra Large","i3.8xlarge","244.0 GiB","99 units","32 vCPUs","0","0","3.094 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","7600 GiB               (4 * 1900 GiB NVMe SSD)","Yes","Yes","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","32500.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$2.992000 hourly","$1.714 hourly","$2.626 hourly","$1.844 hourly","$2.596 hourly","$1.747 hourly","$3.968 hourly","$3.186 hourly","$4.532 hourly","$3.75 hourly","$7.808 hourly","$7.026 hourly","$15.968 hourly","$15.186 hourly","$3.037 hourly","$2.254 hourly","$6.336 hourly","$5.554 hourly","$14.496 hourly","$13.714 hourly","0","$0.270 hourly"
"General Purpose GPU Eight Extra Large","p2.8xlarge","488.0 GiB","94 units","32 vCPUs","8","0","2.938 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","10 Gigabit","5000.0 Mbps","625.0 MB/s","32500.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$13.744000 hourly","$4.914 hourly","$7.33 hourly","$5.044 hourly","$7.3 hourly","$4.947 hourly","$8.672 hourly","$6.386 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$0.270 hourly"
"P3 Eight Extra Large","p3.8xlarge","244.0 GiB","94 units","32 vCPUs","4","0","2.938 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","40000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$16.936000 hourly","$8.354 hourly","$12.37 hourly","$8.484 hourly","$12.34 hourly","$8.387 hourly","$13.712 hourly","$9.826 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$0.270 hourly"
"G3 Eight Extra Large","g3.8xlarge","244.0 GiB","94 units","32 vCPUs","2","0","2.938 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","40000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$3.340000 hourly","$1.5561 hourly","$2.41 hourly","$1.6861 hourly","$2.38 hourly","$1.5891 hourly","$3.752 hourly","$3.0281 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$0.270 hourly"
"X1E Eight Extra Large","x1e.8xlarge","976.0 GiB","91 units","32 vCPUs","0","0","2.844 units","High Frequency Intel Xeon E7-8880 v3 (Haswell)","2.3 GHz","Yes","Yes","Yes","960 GiB               SSD","Yes","No","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","No","unavailable","$4.112 hourly","$6.802 hourly","$4.242 hourly","$6.772 hourly","$4.145 hourly","$8.144 hourly","$5.584 hourly","$8.685 hourly","$6.124 hourly","$11.984 hourly","$9.424 hourly","$20.144 hourly","$17.584 hourly","$7.213 hourly","$4.652 hourly","$10.512 hourly","$7.952 hourly","$18.672 hourly","$16.112 hourly","0","unavailable"
"High Memory Cluster Eight Extra Large","cr1.8xlarge","244.0 GiB","88 units","32 vCPUs","0","0","2.75 units","Intel Xeon E5-2670","unknown","unknown","unknown","unknown","240 GiB               (2 * 120 GiB SSD)","No","No","64-bit","10 Gigabit","N/A","0 MB/s","0 IOPS","No","240","8","No","No","No","No","Unknown","Yes","unavailable","unavailable","$3.63 hourly","unavailable","$3.6 hourly","unavailable","$3.831 hourly","unavailable","$4.044 hourly","unavailable","$7.25 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.270 hourly"
"Cluster Compute Eight Extra Large","cc2.8xlarge","60.5 GiB","88 units","32 vCPUs","0","0","2.75 units","Intel Xeon E5-2670","2.6 GHz","unknown","unknown","unknown","3360 GiB               (4 * 840 GiB HDD)","No","N/A","64-bit","10 Gigabit","N/A","0 MB/s","0 IOPS","No","240","8","No","No","No","No","HVM","Yes","unavailable","unavailable","$2.13 hourly","unavailable","$2.1 hourly","unavailable","$2.57 hourly","unavailable","$2.775 hourly","unavailable","$4.41 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.270 hourly"
"C5 High-CPU 9xlarge","c5d.9xlarge","72.0 GiB","141 units","36 vCPUs","0","0","3.917 units","Intel Xeon Platinum 8124M","3.0 Ghz","Yes","Yes","Yes","900 GiB               NVMe SSD","Yes","Yes","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","40000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$2.016000 hourly","$1.09 hourly","$1.858 hourly","$1.22 hourly","$1.828 hourly","$1.123 hourly","$3.384 hourly","$2.746 hourly","$3.992 hourly","$3.354 hourly","$7.704 hourly","$7.066 hourly","$16.884 hourly","$16.246 hourly","$2.336 hourly","$1.698 hourly","$6.048 hourly","$5.41 hourly","$15.228 hourly","$14.59 hourly","0","$0.270 hourly"
"C5 High-CPU 9xlarge","c5.9xlarge","72.0 GiB","141 units","36 vCPUs","0","0","3.917 units","Intel Xeon Platinum 8124M","3.0 Ghz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","40000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$1.764000 hourly","$0.964 hourly","$1.66 hourly","$1.094 hourly","$1.63 hourly","$0.997 hourly","$3.186 hourly","$2.62 hourly","$3.794 hourly","$3.228 hourly","$7.506 hourly","$6.94 hourly","$16.686 hourly","$16.12 hourly","$2.138 hourly","$1.572 hourly","$5.85 hourly","$5.284 hourly","$15.03 hourly","$14.464 hourly","$0.00 hourly","$0.270 hourly"
"C4 High-CPU Eight Extra Large","c4.8xlarge","60.0 GiB","132 units","36 vCPUs","0","0","3.667 units","Intel Xeon E5-2666 v3 (Haswell)","2.9 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","10 Gigabit","4000.0 Mbps","500.0 MB/s","32000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$1.848000 hourly","$1.008 hourly","$1.721 hourly","$1.138 hourly","$1.691 hourly","$1.041 hourly","$3.091 hourly","$2.664 hourly","$3.881 hourly","$3.154 hourly","$12.485 hourly","$8.407 hourly","$16.747 hourly","$16.164 hourly","$2.208 hourly","$1.616 hourly","$5.92 hourly","$5.328 hourly","$15.1 hourly","$14.508 hourly","$0.00 hourly","$0.270 hourly"
"D2 Eight Extra Large","d2.8xlarge","244.0 GiB","116 units","36 vCPUs","0","0","3.222 units","Intel Xeon E5-2676v3 (Haswell)","2.4 GHz","Yes","Yes","Yes","48000 GiB               (24 * 2000 GiB HDD)","Yes","N/A","64-bit","10 Gigabit","4000.0 Mbps","500.0 MB/s","32000.0 IOPS","No","240","8","Yes","No","Yes","No","HVM","Yes","$6.960000 hourly","$3.216 hourly","$5.65 hourly","$3.346 hourly","$5.62 hourly","$3.253 hourly","$6.198 hourly","$3.3 hourly","unavailable","unavailable","unavailable","unavailable","$20.676 hourly","$18.375 hourly","unavailable","unavailable","unavailable","unavailable","$19.02 hourly","$16.398 hourly","$0.00 hourly","$0.270 hourly"
"C5N 9xlarge","c5n.9xlarge","96.0 GiB","0 units","36 vCPUs","0","0","0 units","Intel Xeon Platinum 8124M","3.0 Ghz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","50 Gigabit","7000.0 Mbps","875.0 MB/s","40000.0 IOPS","No","240","8","Yes","Yes","Yes","No","Unknown","Yes","unavailable","$1.225 hourly","$2.074 hourly","$1.355 hourly","$2.094 hourly","$1.285 hourly","$3.6 hourly","$2.881 hourly","$4.208 hourly","$3.489 hourly","$7.92 hourly","$7.201 hourly","$17.1 hourly","$16.381 hourly","$2.552 hourly","$1.833 hourly","$6.264 hourly","$5.545 hourly","$15.444 hourly","$14.725 hourly","0","$0.270 hourly"
"M4 General Purpose Deca Extra Large","m4.10xlarge","160.0 GiB","124.5 units","40 vCPUs","0","0","3.112 units","Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","10 Gigabit","4000.0 Mbps","500.0 MB/s","32000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$2.500000 hourly","$1.239 hourly","$2.13 hourly","$1.369 hourly","$2.1 hourly","$1.272 hourly","$3.84 hourly","$3.079 hourly","$4.582 hourly","$3.449 hourly","$8.64 hourly","$7.879 hourly","$18.84 hourly","$18.079 hourly","$2.676 hourly","$1.915 hourly","$6.8 hourly","$6.039 hourly","$17 hourly","$16.239 hourly","$0.00 hourly","$0.270 hourly"
"Z1D 12xlarge","z1d.12xlarge","384.0 GiB","271 units","48 vCPUs","0","0","5.646 units","Intel Xeon Platinum 8151","unknown","unknown","unknown","unknown","1800 GiB               (2 * 900 GiB NVMe SSD)","Yes","Yes","64-bit","25 Gigabit","14000.0 Mbps","1750.0 MB/s","80000.0 IOPS","No","750","15","No","Yes","Yes","No","HVM","Yes","$5.424000 hourly","$2.822 hourly","$4.594 hourly","$2.952 hourly","$4.614 hourly","$2.882 hourly","$6.672 hourly","$5.03 hourly","$7.483 hourly","$5.841 hourly","$12.432 hourly","$10.79 hourly","$24.672 hourly","$23.03 hourly","$5.275 hourly","$3.633 hourly","$10.224 hourly","$8.582 hourly","$22.464 hourly","$20.822 hourly","0","$0.270 hourly"
"Z1D Metal","z1d.metal","384.0 GiB","271 units","48 vCPUs","0","0","5.646 units","Intel Xeon Platinum 8151","unknown","unknown","unknown","unknown","1800 GiB               (2 * 900 GiB NVMe SSD)","Yes","Yes","64-bit","25 Gigabit","14000.0 Mbps","1750.0 MB/s","80000.0 IOPS","No","750","15","No","Yes","Yes","No","HVM","No","$5.424000 hourly","$2.822 hourly","$4.594 hourly","$2.952 hourly","$4.614 hourly","$2.882 hourly","$6.672 hourly","$5.03 hourly","$7.483 hourly","$5.841 hourly","$12.432 hourly","$10.79 hourly","$24.672 hourly","$23.03 hourly","$5.275 hourly","$3.633 hourly","$10.224 hourly","$8.582 hourly","$22.464 hourly","$20.822 hourly","0","unavailable"
"R5 12xlarge","r5.12xlarge","384.0 GiB","173 units","48 vCPUs","0","0","3.604 units","Intel Xeon Platinum 8175","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","40000.0 IOPS","No","240","8","No","Yes","Yes","No","HVM","Yes","$3.648000 hourly","$1.905 hourly","$3.154 hourly","$2.035 hourly","$3.174 hourly","$1.965 hourly","$5.232 hourly","$4.113 hourly","$6.043 hourly","$4.924 hourly","$10.992 hourly","$9.873 hourly","$23.232 hourly","$22.113 hourly","$3.835 hourly","$2.716 hourly","$8.784 hourly","$7.665 hourly","$21.024 hourly","$19.905 hourly","0","$0.270 hourly"
"M5 General Purpose 12xlarge","m5.12xlarge","192.0 GiB","173 units","48 vCPUs","0","0","3.604 units","Intel Xeon Platinum 8175","2.5 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","40000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$2.880000 hourly","$1.472 hourly","$2.434 hourly","$1.602 hourly","$2.404 hourly","$1.505 hourly","$4.512 hourly","$3.68 hourly","$5.323 hourly","$4.491 hourly","$10.272 hourly","$9.44 hourly","$22.512 hourly","$21.68 hourly","$3.115 hourly","$2.283 hourly","$8.064 hourly","$7.232 hourly","$20.304 hourly","$19.472 hourly","0","$0.270 hourly"
"M5 General Purpose 12xlarge","m5d.12xlarge","192.0 GiB","173 units","48 vCPUs","0","0","3.604 units","Intel Xeon Platinum 8175","2.5 GHz","Yes","Yes","Yes","1800 GiB               (2 * 900 GiB NVMe SSD)","Yes","Yes","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","40000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$3.384000 hourly","$1.727 hourly","$2.842 hourly","$1.857 hourly","$2.812 hourly","$1.76 hourly","$4.92 hourly","$3.935 hourly","$5.731 hourly","$4.746 hourly","$10.68 hourly","$9.695 hourly","$22.92 hourly","$21.935 hourly","$3.523 hourly","$2.538 hourly","$8.472 hourly","$7.487 hourly","$20.712 hourly","$19.727 hourly","0","$0.270 hourly"
"R5D 12xlarge","r5d.12xlarge","384.0 GiB","173 units","48 vCPUs","0","0","3.604 units","Intel Xeon Platinum 8175","unknown","unknown","unknown","unknown","1800 GiB               (2 * 900 GiB NVMe SSD)","Yes","Yes","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","40000.0 IOPS","No","240","8","No","Yes","Yes","No","HVM","Yes","$4.176000 hourly","$2.181 hourly","$3.586 hourly","$2.311 hourly","$3.606 hourly","$2.241 hourly","$5.664 hourly","$4.389 hourly","$6.475 hourly","$5.2 hourly","$11.424 hourly","$10.149 hourly","$23.664 hourly","$22.389 hourly","$4.267 hourly","$2.992 hourly","$9.216 hourly","$7.941 hourly","$21.456 hourly","$20.181 hourly","0","$0.270 hourly"
